X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,medianLineIntensity,varLineIntensity,meanNumPixels15,meanNumPixels30,meanNumPixels60,meanNumPixels90,meanNumPixels120,meanNumPixels150,meanNumPixels180,medianNumPixels15,medianumPixels30,medianNumPixels60,medianNumPixels90,medianNumPixels120,medianNumPixels150,medianNumPixels180,varNumPixels15,varNumPixels30,varNumPixels60,varNumPixels90,varNumPixels120,varNumPixels150,varNumPixels180,medianMLength15,medianMLength30,medianMLength60,medianMLength90,medianMLength120,medianMLength150,medianMLength180,varMLength15,varMLength30,varMLength60,varMLength90,varMLength120,varMLength150,varMLength180,medianMWidth15,medianMWidth30,medianMWidth60,medianMWidth90,medianMWidth120,medianMWidth150,medianMWidth180,varMWidth15,varMWidth30,varMWidth60,varMWidth90,varMWidth120,varMWidth150,varMWidth180,Overhang,Wall
0,1.9,1.5,1.9,1.35,165,2489909.33333333,2478562,7844130587.93137,9832.33333333333,3724.82608695652,1896.94202898551,1233.13043478261,950.188405797101,784.507246376812,673.115942028986,9681,3699,1908,1199,958,789,672,1789233.1372549,431510.76342711,83219.231884058,38249.1445012788,22747.6257459506,14112.4300937766,9507.54518329071,108,91,67,46,38,34,30,376.04347826087,353.243393009378,57.3418584825234,20.4850809889173,11.2826086956522,7.58695652173913,5.93776641091219,58,46,35,32,28.5,26,24,18.4846790890269,56.2774327122153,45.8345755693582,13.2383022774327,7.47101449275362,6.56915113871636,5.80869565217391,0,0
0,2.15,1.5,2.15,1.35,144,2052245.94202899,2046871,6505042514.026,7113.11594202899,1679.04347826087,898.855072463768,651.101449275362,509.840579710145,418.521739130435,353.144927536232,6947,1629,899,636,515,416,346,1198552.42753623,240479.571611253,24387.978687127,17234.8277919864,12975.194799659,10992.4884910486,9159.47868712702,71,58,40,31,27,24,22,80.2647058823529,54.9454390451833,19.4901960784314,14.9211423699915,9.66496163682864,7.35720375106564,6.85166240409207,44,34,29,26,25,22.5,20,14.1126293995859,15.1687370600414,9.56438923395445,9.49813664596273,14.212215320911,19.7383022774327,21.68033126294,0,0
0,2.2,1.5,2.2,1.35,144,1997187.08695652,1992604,4276253118.52174,6170.94202898551,1217.24637681159,636.405797101449,458.144927536232,367.449275362319,310.478260869565,271.028985507246,6029,1128,615,448,362,308,269,637380.790707587,96216.100170503,18973.7152600171,5401.91986359761,1885.39812446718,875.753196930946,560.29326513214,62,48,34,27,23,21,19,42.4667519181586,14.1099744245524,14.4505541346974,8.72165387894288,3.45012787723785,2.6304347826087,1.90068201193521,43.5,32,23,19,18,17,16,10.3635610766046,18.6792960662526,12.2445134575569,6.60786749482402,4.45051759834369,2.62298136645963,1.8343685300207,0,0
0,2.25,1.5,2.25,1.35,144,2044880.94202899,2021739,12693657376.7613,6816.21739130435,1338.65217391304,695.246376811594,504.898550724638,408.594202898551,344.753623188406,302.942028985507,6369,1111,600,451,376,318,282,2647377.29028133,439864.877237852,42679.1589940324,15292.6513213981,9118.24467178176,6125.51193520887,4543.26129582268,65,49,34,27,24,21,19,48.1909633418585,24.0579710144928,24.9296675191816,11.7101449275362,9.66112531969309,7.22549019607843,6.37979539641944,45,31.5,23,20,19,17,16.5,36.4490683229814,46.7372670807453,16.6948240165631,8.75134575569358,7.32091097308489,5.39047619047619,4.63685300207039,0,0
0,2.3,1.5,2.3,1.35,144,2079610.36231884,2076191,4576720433.91091,7114.89855072464,1427.3768115942,732.115942028986,549.884057971014,455.217391304348,391.130434782609,344.260869565217,7062,1402,737,569,469,408,356,1259482.26896846,182274.23827792,20960.5745950554,11520.6334185848,7999.46675191816,6020.2621483376,4557.28388746803,77,56,37,28,25,22,21,75.5963341858482,32.8789428815004,31.9441602728048,18.7830349531117,15.5511508951407,14.499147485081,13.7983802216539,46,32,24,21,19,18,17,17.7151138716356,15.9223602484472,9.94616977225673,6.76211180124223,5.41697722567288,4.51262939958592,3.81863354037267,0,0
0,2.35,1.5,2.35,1.35,144,2125972.75362319,2099745,15214138070.9825,7211.46376811594,1713.14492753623,928.260869565217,681.579710144928,549.971014492754,457.710144927536,393.144927536232,7307,1488,744,548,454,394,349,860923.781756181,196489.566922421,93008.5191815857,44657.5119352089,26692.0873827792,15817.6794543905,11191.1551577153,78,58,38,30,26,24,22,135.107843137255,105.675191815857,46.4846547314578,12.4262574595055,8.31116794543904,8.63554987212276,8.13554987212276,43.5,32,25,22,21,20,19,23.6223602484472,17.2556935817805,10.6809523809524,10.8217391304348,8.85797101449275,8.40993788819876,6.27743271221532,0,0
0,2.4,1.5,2.4,1.35,166,2207353.85507246,2201708,3820586563.7728,7821.46376811594,2127.24637681159,1109.20289855072,805.695652173913,647.289855072464,548.405797101449,480.188405797101,7764,2072,1031,738,610,527,473,580453.458226769,95253.7766410912,66863.0758738278,26175.1560102302,10638.620630861,5343.9799658994,3296.3610400682,86,66,43,34,30,27,25,149.453111679454,75.5140664961637,32.5358056265985,14.4109121909633,8.45907928388747,5.66666666666667,4.83930093776641,49,42,29,26,24,22,21,13.5861283643892,23.8310559006211,17.3144927536232,13.9256728778468,10.6550724637681,5.97950310559006,4.65341614906832,0,0
0,2.45,1.5,2.45,1.35,166,2312231.33333333,2299967,11345951337.6961,8196.8115942029,2347.89855072464,1267.8115942029,921.202898550725,743.434782608696,634.492753623188,559.869565217391,8136,2287,1236,890,698,590,515,621765.831628304,185335.97485081,55988.0080988917,32127.958226769,20476.6905370844,14238.4595055413,10814.7915601023,84,69,47,36,31,28,26,256.985080988917,196.097186700767,26.1142369991475,10.6854219948849,6.27365728900256,6.2382779198636,5.93776641091219,49,40,31,27.5,25,23,22,13.3086956521739,17.9836438923395,11.2267080745342,9.91718426501035,7.99192546583851,6.70393374741201,5.25134575569358,0,0
0,2.5,1.5,2.5,1.35,166,2358266.39130435,2351675,5328500218.85933,8497.60869565217,2923.78260869565,1650.17391304348,1121.63768115942,874.463768115942,731.31884057971,630.260869565217,8406,2772,1597,1058,843,710,607,873037.565217391,254982.878516624,62560.76342711,25341.5285592498,15291.5758738278,11035.8968456948,7645.22506393862,96,78,56,40,33,30,28,152.639386189258,136.985080988917,48.1027280477408,21.7570332480818,10.7621483375959,6.04774083546462,5.5924978687127,47,42,36.5,32,29,27,25,8.33540372670808,3.33022774327122,10.8325051759834,12.5788819875776,14.3604554865424,14.0432712215321,13.4194616977226,0,0
0,2.55,1.5,2.55,1.35,166,2345648.20289855,2343413,4637604532.22293,8831.13043478261,3114.76811594203,1659.84057971014,1114.89855072464,856.884057971014,706.086956521739,606.710144927536,8718,3184,1682,1110,843,709,613,775337.879795396,288849.710144927,45159.7830349531,9901.26896845695,6166.60400682012,5227.43350383632,4504.32651321398,106,81,57,40,33,29,26,150.673060528559,155.444160272805,46.1653878942881,12.3022165387894,11.6935208866155,7.43350383631714,8.13554987212276,47,43,38,34,30.5,28,26,10.8778467908903,6.26004140786749,9.29627329192547,7.18944099378882,7.76915113871636,10.1788819875776,10.0416149068323,0,0
