X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,medianLineIntensity,varLineIntensity,meanNumPixels15,meanNumPixels30,meanNumPixels60,meanNumPixels90,meanNumPixels120,meanNumPixels150,meanNumPixels180,medianNumPixels15,medianumPixels30,medianNumPixels60,medianNumPixels90,medianNumPixels120,medianNumPixels150,medianNumPixels180,varNumPixels15,varNumPixels30,varNumPixels60,varNumPixels90,varNumPixels120,varNumPixels150,varNumPixels180,medianMLength15,medianMLength30,medianMLength60,medianMLength90,medianMLength120,medianMLength150,medianMLength180,varMLength15,varMLength30,varMLength60,varMLength90,varMLength120,varMLength150,varMLength180,medianMWidth15,medianMWidth30,medianMWidth60,medianMWidth90,medianMWidth120,medianMWidth150,medianMWidth180,varMWidth15,varMWidth30,varMWidth60,varMWidth90,varMWidth120,varMWidth150,varMWidth180,Overhang,Wall
0,2.55,1.5,2.55,1.4,180,2199089.01449275,2195034,3389908601.45567,7642.23188405797,2390.8115942029,1186.21739130435,839.68115942029,668.36231884058,560.594202898551,486.884057971014,7527,2431,1167,814,655,543,475,461394.47485081,106740.566922421,21197.9961636829,12271.3380221654,6845.35208866155,4090.65643648764,2967.4863597613,94,78,42,33,30,26,24,266.777493606138,309.992327365729,38.8380221653879,11.1641091219096,4.39514066496164,3.49658994032396,3.41986359761296,49,39.5,32,28,24,23,21,19.0923395445135,10.4049689440994,9.95631469979296,15.3879917184265,16.5923395445135,12.0753623188406,10.8314699792961,0,0
0,2.6,1.5,2.6,1.4,180,2234215.1884058,2219969,5379601162.68457,7593.79710144928,2515.52173913043,1388.47826086957,992.550724637681,771.985507246377,635.869565217391,541.405797101449,7428,2428,1346,967,769,650,560,833740.34057971,110576.517902813,28955.8708439898,6408.80988917306,4695.60272804774,4748.70332480818,4481.18584825234,92,75,45,35,31,27,25,176.18073316283,106.297101449275,24.4377664109122,8.66283034953112,8.44416027280477,8.81969309462916,8.63213981244672,51.5,42.5,37,31.5,28.5,26,24,33.2565217391304,40.7256728778468,36.3403726708075,23.3600414078675,11.3923395445135,8.00103519668737,5.02712215320911,0,0
0,2.65,1.5,2.65,1.4,180,2135689.62318841,2126494,5562109714.88534,7272.4347826087,2157.50724637681,1057.31884057971,724,567.608695652174,475.623188405797,415.579710144928,7188,2102,1024,717,565,474,416,909168.219948849,101371.106564365,14241.1027280477,5098.14705882353,3506.5358056266,3485.9441602728,3121.57075873828,85,67,38,30,26,23,21,225.498721227622,157.921142369991,14.0630861040068,6.89812446717818,7.01705029838022,5.84953111679454,5.0843989769821,48,37.5,30,26.5,23,21,20,35.0412008281574,27.1503105590062,30.7165631469979,14.6271221532091,3.96045548654244,3.46190476190476,3.9287784679089,0,0
0,2.7,1.5,2.7,1.4,180,2124434.68115942,2123715,3481651404.42626,7626.01449275362,2131.69565217391,1107.86956521739,759.391304347826,575.608695652174,478.159420289855,413.014492753623,7449,2157,1091,742,559,466,405,512834.485080989,40619.0089514066,16156.0856777494,6754.24168797954,3484.50639386189,2269.7242114237,1508.48508098892,78,59,36,28,24,21,19,75.5554134697357,77.0682011935209,39.9211423699915,23.6666666666667,19.1359761295823,13.7050298380222,11.4786871270247,42,33,27,23,21,19,18,23.6954451345756,9.31594202898551,4.70414078674948,4.49378881987578,5.15134575569358,4.57060041407867,3.67308488612836,0,0
0,2.75,1.5,2.75,1.4,180,2109957.65217391,2106073,3834048768.23018,7726.86956521739,2143.24637681159,1029.13043478261,651.231884057971,508.04347826087,426.478260869565,371.376811594203,7621,2031,957,629,491,417,367,481309.644501279,103592.100170503,27833.6739130435,6585.82779198636,3157.33631713555,2041.81202046036,1543.20886615516,80,59,35,28,23,21,20,90.6462063086104,75.1142369991475,41.3687127024723,12.5848252344416,3.9002557544757,3.24978687127025,3.15004262574595,48,34.5,27.5,24,21.5,20,19,11.4966873706004,9.95631469979296,2.36873706004141,2.07370600414079,1.69772256728778,1.68550724637681,1.72857142857143,0,0
0,2.8,1.5,2.8,1.4,180,2202653,2194544,6265284751.11765,8302.3768115942,2505.24637681159,1293.66666666667,926.275362318841,726.217391304348,595.652173913043,506.826086956522,8239,2526,1256,909,721,595,508,632497.385336743,72804.7178175618,17654.1960784314,6130.73188405797,2951.14322250639,1771.0537084399,1146.85166240409,89,70,44,33,29,26,23,358.86231884058,257.635976129582,82.8393009377664,40.0630861040068,19.1854219948849,11.7634271099744,9.20460358056266,51,40,28,24,22,19.5,19,10.6260869565217,22.8383022774327,21.9925465838509,7.63333333333333,4.90269151138716,2.48944099378882,2.36935817805383,0,0
0,2.85,1.5,2.85,1.4,180,2282376.01449275,2285128,7261645805.74979,8610.08695652174,2703.57971014493,1525.11594202899,1156.6231884058,945.768115942029,801.492753623188,693.420289855072,8743,2823,1586,1226,1013,866,752,1122793.37468031,177082.89428815,32965.4863597613,25313.7971014493,23488.5336743393,22929.2242114237,22054.1295822677,97,70,41,32,28,26,24,309.006393861893,242.306905370844,19.575873827792,4.98635976129582,2.2536231884058,3.48635976129582,3.75319693094629,47,34,28,25,23,21,20,25.208281573499,13.4459627329193,8.58985507246377,6.88695652173913,5.14616977225673,4.83002070393375,5.20103519668737,0,0
0,2.9,1.5,2.9,1.4,180,2160773.28985507,2147713,4826724509.85592,7959.04347826087,2686.94202898551,1489.4347826087,1053.59420289855,766.289855072464,541.521739130435,399.492753623188,7961,2668,1510,1068,780,557,374,345779.071611253,26170.2612958227,7332.10230179028,8163.77408354646,11070.6794543905,16342.4590792839,7575.90068201194,102,70,38,30,26,24,22,196.871270247229,67.3354646206309,15.2007672634271,7.26385336743393,4.90068201193521,4.24339300937766,3.48508098891731,52,42.5,30.5,26,23,21,19,21.5049689440994,36.6006211180124,29.4658385093168,17.0412008281574,9.64306418219462,3.50393374741201,1.36149068322981,0,0
0,2.95,1.5,2.95,1.4,180,2135785.1884058,2132189,4520843877.47869,7829.24637681159,2670.84057971014,1292.69565217391,746.36231884058,572.927536231884,474.478260869565,408.449275362319,7814,2712,1270,728,569,469,402,388863.570758738,44821.9006820119,24220.5383631714,6999.64620630861,2701.9799658994,1386.72378516624,987.368712702472,113,85,48,31,27,24,22,43.731884057971,64.3904518329071,79.9671781756181,4.57843137254902,2.17135549872123,2.10272804774084,1.7152600170503,48,38,31,26,23,21,20,22.5722567287785,17.8055900621118,10.1664596273292,7.10062111801242,5.18509316770186,3.68944099378882,2.62443064182195,0,0
0,3,1.5,3,1.4,180,2097509.07246377,2097805,3076679872.71526,8092.75362318841,1783.88405797101,842.913043478261,597.95652173913,473.260869565217,402.275362318841,353.289855072464,8113,1781,878,622,461,387,342,350813.011935209,19064.8098891731,11625.7276214834,7024.86572890026,4386.19565217391,3581.32011935209,2912.97357203751,86,64,37,29,24,22,20,258.173060528559,119.835464620631,22.0439045183291,10.9923273657289,3.68840579710145,2.91602728047741,2.50895140664962,46,32,26,22.5,21,19,18,22.2368530020704,20.3387163561077,5.34761904761905,3.76066252587992,2.91511387163561,2.90351966873706,2.45051759834369,0,0
