index,current_power,optimal_power,power_change,error_improvement,optimization_success,X_Start,Y_Start,X_End,Y_end,Z,Overhang,Wall,original_meanLineIntensity,original_meanNumPixels15,original_meanNumPixels30,original_meanNumPixels60,original_Median_meltLength,predicted_meanLineIntensity,predicted_meanNumPixels15,predicted_meanNumPixels30,predicted_meanNumPixels60,predicted_Median_meltLength,target_meanLineIntensity,target_meanNumPixels15,target_meanNumPixels30,target_meanNumPixels60,target_Median_meltLength
33,180.0,180.0,0.0,0.037757246400260874,True,0.0,1.7,1.5,1.7,0.5,0.0,0.0,1794599.53932584,4696.37078651685,1104.89887640449,558.483146067416,41.0,1834381.5,5120.0645,1175.3179,608.5474,37.899353,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
34,180.0,180.0,0.0,0.03827318375220049,True,0.0,1.75,1.5,1.75,0.5,0.0,0.0,1795008.98876404,4605.62921348315,1049.4606741573,564.539325842697,36.0,1832849.8,5102.1133,1173.4202,608.5541,37.83516,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
36,180.0,180.0,0.0,0.039257181713194846,True,0.0,1.85,1.5,1.85,0.5,0.0,0.0,1904086.41573034,5963.62921348315,1391.4606741573,668.550561797753,39.0,1831572.4,5087.475,1174.3381,609.96716,37.713184,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
38,180.0,180.0,0.0,0.03910812516347133,True,0.0,1.95,1.5,1.95,0.5,0.0,0.0,1851773.51685393,4765.57303370786,1129.66292134831,616.438202247191,39.0,1828354.1,5043.519,1164.456,606.8607,37.52607,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
40,180.0,180.0,0.0,0.04145481140931424,True,0.0,2.05,1.5,2.05,0.5,0.0,0.0,1797439.46067416,4673.51685393258,1023.05617977528,557.078651685393,36.0,1809937.2,4826.1514,1084.0304,569.98505,36.279774,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
41,180.0,180.0,0.0,0.054977219459779736,True,0.0,2.1,1.5,2.1,0.5,0.0,0.0,1797311.5505618,4647.89887640449,1105.69662921348,581.044943820225,36.0,1799148.0,4696.8853,1032.929,546.65063,35.514034,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
42,180.0,180.0,0.0,0.07217918553344604,True,0.0,2.15,1.5,2.15,0.5,0.0,0.0,1792756.86516854,4344.70786516854,1007.29213483146,542.831460674157,36.0,1791216.6,4607.686,990.3228,527.9441,34.75798,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
43,180.0,180.0,0.0,0.08228095053098963,True,0.0,2.2,1.5,2.2,0.5,0.0,0.0,1753792.52808989,4159.7191011236,912.76404494382,519.056179775281,35.0,1786693.6,4581.6436,968.9158,518.0485,34.268257,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
44,180.0,180.0,0.0,0.07809294122893308,True,0.0,2.25,1.5,2.25,0.5,0.0,0.0,1758724.57303371,4601.40449438202,1060.51685393258,519.955056179775,35.0,1789215.9,4615.9697,973.17236,519.0275,34.340397,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
45,180.0,180.0,0.0,0.06687496033787171,True,0.0,2.3,1.5,2.3,0.5,0.0,0.0,1777635.14606742,4665.04494382022,1052.51685393258,537.775280898876,34.0,1795944.2,4680.003,991.65485,525.2074,34.736774,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
49,180.0,180.0,0.0,0.03357941344014442,True,0.0,2.5,1.5,2.5,0.5,0.0,0.0,1798090.14606742,4776.76404494382,1024.03370786517,527.123595505618,36.0,1827007.0,4946.3193,1076.0806,561.6676,36.719475,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
51,180.0,180.0,0.0,0.031046587778454458,True,0.0,2.6,1.5,2.6,0.5,0.0,0.0,1818269.80898876,4618.08988764045,1083.57303370787,588.797752808989,38.0,1837325.6,5024.6694,1114.08,581.88525,37.472378,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
54,180.0,180.00000248877018,2.488770178388222e-06,0.029240088777894514,True,0.0,2.75,1.5,2.75,0.5,0.0,0.0,1800906.23595506,4591.4606741573,1148.21348314607,588.202247191011,37.0,1842967.0,5057.4995,1118.6239,583.5404,37.38012,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
55,180.0,180.0,0.0,0.02756743162860588,True,0.0,2.8,1.5,2.8,0.5,0.0,0.0,1812930.84269663,4552.6404494382,982.595505617978,513.370786516854,35.0,1842643.8,5053.923,1103.7986,574.8794,37.05096,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
57,180.0,180.0,0.0,0.02546037611333961,True,0.0,2.9,1.5,2.9,0.5,0.0,0.0,1862402.20224719,5074.32584269663,1228.44943820225,697.640449438202,38.0,1843246.2,5074.8354,1085.3905,566.76587,36.536285,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
58,180.0,179.25633815413622,-0.7436618458637838,0.022183548547242932,True,0.0,2.95,1.5,2.95,0.5,0.0,0.0,1791802.88764045,4717.5393258427,1147.23595505618,603.112359550562,34.0,1859777.8,5334.451,1149.7788,605.58765,37.154316,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
59,180.0,180.0,0.0,0.0235199975192847,True,0.0,3.0,1.5,3.0,0.5,0.0,0.0,1822050.13483146,4776.51685393258,985.0,546.494382022472,36.0,1842465.8,5116.005,1084.2623,573.90717,36.161037,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
60,180.0,180.0,0.0,0.024054599340070537,True,0.0,3.05,1.5,3.05,0.5,0.0,0.0,1829498.33707865,4782.12359550562,976.730337078652,541.191011235955,35.0,1845808.4,5194.192,1127.8828,597.6532,36.539436,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
61,180.0,180.0,0.0,0.03767623453520837,True,0.0,3.1,1.5,3.1,0.5,0.0,0.0,1854342.71910112,5387.87640449438,1337.19101123596,726.741573033708,38.0,1850307.9,5271.2046,1190.1997,628.11725,37.225838,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
65,180.0,180.0,0.0,0.3906643307084374,True,0.0,3.3,1.5,3.3,0.5,0.0,0.0,1826876.71910112,5179.93258426966,1431.1797752809,713.393258426966,42.0,1887763.9,5664.6714,1562.9253,798.5042,42.31558,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
66,180.0,180.0,0.0,0.9296939657131944,True,0.0,3.35,1.5,3.35,0.5,0.0,0.0,1964377.04494382,6070.49438202247,1840.79775280899,944.191011235955,50.0,1917487.2,5961.4316,1828.7441,920.9058,46.067562,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
