X_Start,Y_Start,X_End,Y_end,Z,meanLineIntensity,varLineIntensity,meanNumPixels15,varNumPixels15,meanNumPixels30,varNumPixels30,meanNumPixels60,varNumPixels60,Median_meltLength,varMeltLength,Overhang,Wall,Power
0,0.05,1.5,0.05,0.5,1828807.15730337,5902106681.83861,4884.79775280899,924960.754085802,1195.75280898876,121117.301838611,683.483146067416,18681.2070990807,42,47.4226251276813,0,0,180
0,0.1,1.5,0.1,0.5,1914433.03370787,5807522416.69203,6706.26966292135,1771474.08554648,1619.43820224719,171176.58988764,806.85393258427,26267.8306945863,41,52.9673135852911,0,0,180
0,0.15,1.5,0.15,0.5,1910229.66292135,4765438442.52145,6109.4606741573,761599.046731359,1612.1797752809,136416.058222676,774.966292134831,39714.7374872319,43,77.3429519918284,0,0,180
0,0.2,1.5,0.2,0.5,1905873.7752809,7406519792.44893,5864.94382022472,1277515.2581716,1534.77528089888,145427.562563841,801.258426966292,22738.7847293156,43,42.4770173646578,0,0,180
0,0.25,1.5,0.25,0.5,1844208.93258427,3619133270.79086,5074.49438202247,349848.502808989,1490.02247191011,58668.9085801839,846.966292134831,25185.4874872319,41,25.2448927477017,0,0,180
0,0.3,1.5,0.3,0.5,1822534.13483146,4109557952.68616,4972.25842696629,211955.98927477,1404.70786516854,26212.1636874362,721.876404494382,7602.51864147089,38,12.7397854954035,0,0,180
0,0.35,1.5,0.35,0.5,1812451.25842697,3149808037.67109,5008.38202247191,588552.920582227,1466.30337078652,154434.736465781,841.831460674157,41735.0735444331,37,11.9216036772217,0,0,180
0,0.4,1.5,0.4,0.5,1856149.73033708,8709952522.99464,5334.29213483146,770135.640960164,1655.34831460674,287385.820480082,943.629213483146,64485.8041368744,36,111.635342185904,0,0,180
0,0.45,1.5,0.45,0.5,1874828.05617978,3323568176.30363,5639.15730337079,361357.270429009,1794.44943820225,48037.7729826353,948.966292134831,6243.0102145046,41,45.3771705822268,0,0,180
0,0.5,1.5,0.5,0.5,1853753.71910112,4089821881.09065,5785.57303370786,351295.292900919,1573.07865168539,36144.1187436159,793.606741573034,11913.9458631256,38,16.2385086823289,0,0,180
0,0.55,1.5,0.55,0.5,1801119.69662921,3775560639.57737,4968.85393258427,307926.330694586,1223.68539325843,11749.808988764,664.460674157303,5972.7740040858,36,12.3592951991828,0,0,180
0,0.6,1.5,0.6,0.5,1789147.61797753,3051640400.07967,4756.92134831461,371349.891470889,1050.20224719101,5950.57226762002,556.516853932584,2603.97982635342,36,13.0250255362615,0,0,180
0,0.65,1.5,0.65,0.5,1792616.7752809,6278823019.33529,4635.59550561798,468709.379979571,950.370786516854,26711.5995914198,505.921348314607,10920.9369254341,34,9.50919305413687,0,0,180
0,0.7,1.5,0.7,0.5,1793482.23595506,8420906927.95506,4635.57303370786,575558.951991828,946.011235955056,51848.102145046,486.494382022472,14934.7073544433,36,28.2479570990807,0,0,180
0,0.75,1.5,0.75,0.5,1807640.20224719,3903249041.57227,4758.12359550562,358580.200459653,1004.2808988764,10695.5451991828,525.808988764045,5968.01991828396,40,28.7456588355465,0,0,180
0,0.8,1.5,0.8,0.5,1839280.4494382,9593606039.2048,5485.74157303371,2061933.17109295,1223.73033707865,291456.653728294,567.876404494382,7010.67773237998,40,31.2556179775281,0,0,180
0,0.85,1.5,0.85,0.5,1825355.15730337,4768640867.22497,4897.67415730337,784659.563074566,1130.16853932584,51511.7326353422,595.820224719101,5814.33094994893,39,76.9318181818182,0,0,180
0,0.9,1.5,0.9,0.5,1863253.15730337,7406450020.17952,5551.73033707865,1287069.17645557,1324.88764044944,311817.441777324,661.573033707865,30792.2929009193,40,79.7724719101124,0,0,180
0,0.95,1.5,0.95,0.5,1918674.42696629,5859156583.13381,5861.93258426966,946016.359039836,1496.79775280899,154024.367722165,767.505617977528,31819.3891726251,44,69.2295709908069,0,0,180
0,1,1.5,1,0.5,1833485.85393258,4187008373.12615,5535.78651685393,600345.919816139,1312.3595505618,37795.2101634321,652.921348314607,10837.5505617978,38,38.1933094994893,0,0,180
0,1.05,1.5,1.05,0.5,1822431.31460674,3353345830.01353,5041.10112359551,556959.705566905,1282.70786516854,122387.868232891,683.033707865169,26862.55566905,37,69.5173646578141,0,0,180
