X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,varLineIntensity,meanNumPixels15,varNumPixels15,meanNumPixels30,varNumPixels30,meanNumPixels60,varNumPixels60,meanNumPixels90,varNumPixels90,meanNumPixels120,varNumPixels120,medianMLength15,varMLength15,medianMLength30,varMLength30,medianMLength60,varMLength60,medianMLength90,varMLength90,medianMLength120,varMLength120,Overhang,Wall
0,1.2,1.5,1.2,1.35,138.59375,2070367.7752809,4677887628.60802,6993.8202247191,431131.876404494,1738.23595505618,102481.773237998,913.516853932584,21495.5934627171,671.505617977528,9975.27553626149,543.584269662921,6133.81384065373,84,500.768130745659,67,357.26353421859,46,78.9977017364658,36,38.9290091930541,31,27.0240040858018,0,0
0,1.25,1.5,1.25,1.35,119.6484375,1990542.28089888,3340420599.18156,6564.11235955056,661806.032686415,1708.75280898876,103076.506384065,776.719101123595,8862.36338100102,530.449438202247,4725.40934627171,411.359550561798,2788.77834525026,79,366.835291113381,66,254.797497446374,33,10.070480081716,27,3.9573544433095,23,2.53396322778345,0,0
0,1.3,1.5,1.3,1.35,98.9453125,1915662.08988764,2700640535.31001,6486.06741573034,496983.677221655,1665.01123595506,87312.852145046,727.269662921348,4634.67645556691,473.089887640449,3113.01455566905,344.348314606742,1907.77502553626,78,288.700459652707,57,166.684116445352,28,7.22778345250256,22,2.69254341164454,19,1.8991317671093,0,0
0,1.35,1.5,1.35,1.35,97.890625,1899871.61797753,4563502927.28422,6511.29213483146,872030.959141982,1993.77528089888,348980.426200204,801.831460674157,23745.914453524,475.921348314607,8069.98237997957,357.494382022472,6208.50280898876,86,625.164708886619,70,342.546475995914,31,20.9203268641471,23,10.8610827374872,19,9.51200204290092,2,0
0,1.4,1.5,1.4,1.35,84.296875,1915692.66292135,3136787998.49872,6850.2808988764,743685.386108274,1849.05617977528,238620.189989785,715.606741573034,21855.4685903984,467.52808988764,6173.43386108274,353.820224719101,3577.49004085802,97,502.982379979571,71,280.835801838611,31,33.7528089887641,24,14.89708886619,20,9.24540347293156,2,0
0,1.45,1.5,1.45,1.35,75.703125,1909479.3258427,2496134052.29035,7184.44943820225,526216.932073544,2245.37078651685,315328.008682329,1011.43820224719,35259.4307967314,517.887640449438,12022.9645045965,341.23595505618,10849.3186925434,94,354.035495403473,75,432.892747701736,33,70.1008682328907,22,56.2456588355465,18,33.4795709908069,2,0
0,1.5,1.5,1.5,1.35,57.109375,1842749.52808989,2546689698.61568,6760.16853932584,414820.573544433,1761.19101123596,272656.588100102,619.707865168539,28117.1636874362,279.516853932584,6909.0480081716,169.966292134831,5111.32839632278,49,127.914198161389,36,175.138406537283,13,57.0020429009193,1,28.4047497446374,0,14.2747701736466,2,0
0,1.55,1.5,1.55,1.35,52.1875,1817804.87640449,1549192291.70046,6358.19101123595,298810.088100102,1313.75280898876,139654.46092952,337.078651685393,5495.93692543412,128.696629213483,2818.21373850868,69.9887640449438,2767.57941777324,98,233.745658835546,72,521.546731358529,27,46.4943820224719,13,19.2298263534219,8,24.6754341164454,2,0
0,1.6,1.5,1.6,1.35,55,1777784.25842697,2149274793.08018,5812.95505617978,422719.475229826,1018.13483146067,137996.981613892,290.078651685393,8911.77783452503,120.76404494382,3055.09141981614,68.5955056179775,2264.19816138917,100,328.364913176711,64,554.494892747702,24,57.8975995914198,11,20.0692032686415,7,25.9994892747702,2,0
0,1.65,1.5,1.65,1.35,57.8125,1787672.21348315,3130562369.91982,5927.75280898876,478237.892747702,1073.59550561798,43753.8572522983,272.056179775281,7027.23544433095,146.404494382022,5436.62997957099,98.2696629213483,4570.24463738509,105,242.773748723187,71,101.671603677222,22,15.6312563840654,13,25.5640960163432,10,32.4535240040858,2,0
0,1.7,1.5,1.7,1.35,76.40625,1809596.66292135,2119827114.58963,5824.6404494382,276142.982890705,883.449438202247,32337.0911644535,354.685393258427,6458.26353421859,241.752808988764,3873.30183861083,182.191011235955,2735.79264555669,63,165.872318692543,40,67.520684371808,23,31.9542900919305,17,30.3434627170582,14,26.3490806945863,2,0
0,1.75,1.5,1.75,1.35,82.03125,1787034.7752809,3040326761.65347,5122.97752808989,286162.135852911,542.651685393258,14017.9113891726,227.898876404494,7959.50102145046,154.561797752809,4523.08988764045,118.865168539326,2956.86797752809,35,25.9645045965271,24,11.3100102145046,16,9.13636363636364,13,7.7267620020429,11,6.70556690500511,2,0
0,1.8,1.5,1.8,1.35,131.875,2006780.29213483,11849770618.4137,6592.33707865169,900630.362359551,1185.80898876404,37407.4290091931,591.921348314607,7901.73237997957,447.76404494382,5325.88687436159,366.741573033708,4173.78472931563,71,169.387640449438,55,112.095505617978,34,20.6082737487232,27,8.92032686414709,24,5.02502553626149,0,0
0,1.85,1.5,1.85,1.35,150,2202462.64044944,5250717904.91471,8390.59550561798,930112.198161389,2053.56179775281,129698.044433095,909.112359550562,18873.759959142,657.101123595506,10139.3192032686,535.595505617978,6199.51634320735,83,566.111338100102,74,333.390960163432,41,22.5457099080695,32,6.93386108273749,28,3.45914198161389,0,0
0,1.9,1.5,1.9,1.35,124.53125,2101190.1011236,2595363658.27375,6981.69662921348,422406.8046476,1946.8202247191,154844.899131767,973.23595505618,8913.31869254341,681.921348314607,2480.41419816139,545.067415730337,1256.67722165475,96,459.982635342186,69,345.852145045965,40,19.6567926455567,32,6.98008171603677,27,3.57737487231869,0,0
0,2.15,1.5,2.15,1.35,180,2249009.65168539,19941801681.4568,8725.52808988764,2180756.86567926,2400.76404494382,204066.114147089,1259.80898876404,37572.519918284,924.168539325843,22676.664453524,737.393258426966,17693.9685903984,77,287.338610827375,64,166.20684371808,42,49.826353421859,34,27.458886618999,30,17.4338610827375,0,0
0,2.2,1.5,2.2,1.35,180,2294378.48314607,5716927519.16164,8443.1797752809,686443.126404494,2400.84269662921,150722.406792646,1243.6404494382,36378.7328907048,913.112359550562,21355.6235955056,745.910112359551,14507.9463738509,105,275.646322778345,80,324.425434116445,46,58.1248723186925,37,26.9093462717058,32,17.5464759959142,0,0
0,2.25,1.5,2.25,1.35,180,2327834.57303371,11325328033.2702,8905.06741573034,1544608.4726762,2916.04494382022,461263.952502554,1620.77528089888,150323.676200204,1156.84269662921,68349.3158835546,878.269662921348,42022.7673646578,88,312.362359550562,70,287.29417773238,43,64.9568437180797,35,24.1251276813075,30,13.7002042900919,0,0
