X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,varLineIntensity,meanNumPixels15,varNumPixels15,meanNumPixels30,varNumPixels30,meanNumPixels60,varNumPixels60,meanNumPixels90,varNumPixels90,meanNumPixels120,varNumPixels120,medianMLength15,varMLength15,medianMLength30,varMLength30,medianMLength60,varMLength60,medianMLength90,varMLength90,medianMLength120,varMLength120,Overhang,Wall,d_edge_left,d_edge_right,d_over_left,d_over_right,d_col,d_over_z,NoLines,prev_Wall,prev_Overhang,prev_NoLines,prev_Power,prev_d_edge_right,prev_d_edge_left,prev_d_over_left,prev_d_over_right,prev_d_col,prev_d_over_z
0,0.05,1.5,0.05,0.05,180,2544741.1011236,21885205488.7965,16911.8314606742,6079590.91445352,5797.32584269663,3716708.6994382,1552.41573033708,178119.45020429,964.685393258427,33427.308988764,745.865168539326,13092.9816138917,75,190.785240040858,62,141.861082737487,44,70.0955056179775,34,29.1830949948927,29,18.1419816138917,0,0,0.05,3.3000000000000003,3.3000000000000003,3.3000000000000003,0.0,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1,1.5,0.1,0.05,180,2405366.2247191,26601322356.4262,14079.0112359551,5881445.28396323,4876.14606741573,2597601.19433095,1528.38202247191,601509.125127681,857.157303370787,89904.5431562819,623.337078651685,29771.7941777324,90,159.034729315628,73,141.215270684372,42,81.3153728294178,32,47.1565372829418,26,28.1149131767109,0,0,0.05,3.25,3.3000000000000003,3.3000000000000003,0.0,1.7,2.0,0.0,0.0,1.0,180.0,3.3000000000000003,0.05,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.15,1.5,0.15,0.05,180,2422919.23595506,19986833881.7051,14408.2247191011,7650766.72165475,5312.57303370786,1505002.9747191,1814.42696629213,134156.429264556,984.449438202247,30120.1138917263,685.696629213483,7716.50919305414,97,275.591930541369,78,246.13202247191,54,144.745403472932,39,93.0099591419816,30,46.1690500510725,0,0,0.09999999999999999,3.2,3.3000000000000003,3.3000000000000003,0.0,1.7,2.9999999999999996,0.0,0.0,2.0,180.0,3.25,0.05,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.2,1.5,0.2,0.05,180,2329611.53932584,10579845939.5013,13726.3483146067,7703095.95684372,5107.44943820225,2749767.40934627,1443.11235955056,57421.8281409602,754.707865168539,9343.55005107252,537.247191011236,3881.57456588355,109,355.135086823289,80,178.8664453524,50,76.8840653728294,33,32.9729315628192,26,5.54315628192033,0,0,0.15000000000000002,3.15,3.3000000000000003,3.3000000000000003,0.0,1.7,4.0,0.0,0.0,2.9999999999999996,180.0,3.2,0.09999999999999999,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.25,1.5,0.25,0.05,180,2243689.57303371,12154711473.7474,12336.8876404494,9372096.19177732,3911.29213483146,1195326.2773238,1107.37078651685,21109.4632277834,637.213483146067,2942.69254341164,479.191011235955,1915.3835546476,96,261.533963227783,77,161.64759959142,46,103.965270684372,31,17.7300817160368,25,3.22829417773238,0,0,0.2,3.1,3.3000000000000003,3.3000000000000003,0.0,1.7,5.0,0.0,0.0,4.0,180.0,3.15,0.15000000000000002,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.3,1.5,0.3,0.05,180,2194282.28089888,9897035980.5452,11397.2247191011,7308632.83529111,3402.5393258427,1241574.18309499,1023.57303370787,45189.0201736466,605.404494382022,3834.28907048008,454.606741573034,1540.90040858018,92,376.136874361593,72,248.254341164454,41,84.8549540347293,29,18.8595505617978,24,3.74948927477017,0,0,0.25,3.0500000000000003,3.3000000000000003,3.3000000000000003,0.0,1.7,5.999999999999999,0.0,0.0,5.0,180.0,3.1,0.2,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.35,1.5,0.35,0.05,180,2171050.3258427,5703620524.42671,10740.1235955056,2214597.33682329,3060.13483146067,492223.913432074,932.988764044944,18079.5566905005,538.011235955056,4723.57941777324,398.595505617978,2655.90270684372,82,158.459652706844,69,114.209652706844,38,79.4433094994893,27,15.8927477017365,22,2.81716036772217,0,0,0.3,3.0,3.3000000000000003,3.3000000000000003,0.0,1.7,6.999999999999999,0.0,0.0,5.999999999999999,180.0,3.0500000000000003,0.25,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.4,1.5,0.4,0.05,180,2187265.56179775,31918216487.9535,11814.3707865169,10335210.5995914,3362.73033707865,2065262.15372829,990.685393258427,152503.1953524,532.348314606742,17466.8432073544,401.325842696629,7880.4948927477,93,129.663687436159,71,120.361593462717,41,133.521450459653,27,22.9307967313585,22,8.04570990806946,0,0,0.35000000000000003,2.95,3.3000000000000003,3.3000000000000003,0.0,1.7,8.0,0.0,0.0,6.999999999999999,180.0,3.0,0.3,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.45,1.5,0.45,0.05,180,2217327.46067416,8260653478.00128,12042.2696629213,4900327.88100102,3917.86516853933,1141982.91343207,1156.68539325843,66837.0135342186,616.23595505618,10095.7505107252,451.606741573034,2658.92313585291,83,264.609039836568,68,138.724974463739,41,79.3094994892748,28,22.3066905005107,24,5.80949948927477,0,0,0.4,2.9,3.3000000000000003,3.3000000000000003,0.0,1.7,9.0,0.0,0.0,8.0,180.0,2.95,0.35000000000000003,3.3000000000000003,3.3000000000000003,0.0,1.7
0,0.5,1.5,0.5,0.05,180,2195690.16853933,3246165546.27809,11753.8539325843,1758695.05796731,3221.85393258427,264473.512512768,961.584269662921,14710.6092951992,573.269662921348,3937.54009193054,435.775280898876,2290.28983656793,90,131.635342185904,68,71.208886618999,42,39.570480081716,29,8.24770173646578,24,4.2035240040858,0,0,0.45,2.85,3.3000000000000003,3.3000000000000003,0.0,1.7,10.0,0.0,0.0,9.0,180.0,2.9,0.4,3.3000000000000003,3.3000000000000003,0.0,1.7
