X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,medianLineIntensity,varLineIntensity,meanNumPixels15,meanNumPixels30,meanNumPixels60,meanNumPixels90,meanNumPixels120,meanNumPixels150,meanNumPixels180,medianNumPixels15,medianumPixels30,medianNumPixels60,medianNumPixels90,medianNumPixels120,medianNumPixels150,medianNumPixels180,varNumPixels15,varNumPixels30,varNumPixels60,varNumPixels90,varNumPixels120,varNumPixels150,varNumPixels180,medianMLength15,medianMLength30,medianMLength60,medianMLength90,medianMLength120,medianMLength150,medianMLength180,varMLength15,varMLength30,varMLength60,varMLength90,varMLength120,varMLength150,varMLength180,medianMWidth15,medianMWidth30,medianMWidth60,medianMWidth90,medianMWidth120,medianMWidth150,medianMWidth180,varMWidth15,varMWidth30,varMWidth60,varMWidth90,varMWidth120,varMWidth150,varMWidth180,Overhang,Wall,d_edge_left,d_edge_right,d_over_left,d_over_right,d_col,d_over_z,NoLines,prev_Wall,prev_Overhang,prev_NoLines,prev_Power,prev_d_edge_right,prev_d_edge_left,prev_d_over_left,prev_d_over_right,prev_d_col,prev_d_over_z
0,0.55,1.5,0.55,0.05,188,2072984.60869565,2072632.0,5376850327.18287,6802.15942028986,1773.39130434783,798.521739130435,556.985507246377,447.231884057971,380.115942028986,332.739130434783,6954.0,1607.0,781.0,542.0,434.0,369.0,320.0,897757.665387894,97202.3887468031,6929.54731457801,3198.60272804774,2363.35720375107,2045.86871270247,1877.34271099744,73.0,60.0,38.0,29.0,25.0,22,21.0,31.1001705029838,29.9083546462063,8.70332480818414,2.20588235294118,1.65984654731458,1.55797101449275,1.66538789428815,51.0,35.0,25.0,22.0,20.0,19.0,18.0,8.21718426501035,38.6478260869565,6.73726708074534,1.62008281573499,1.35424430641822,1.23167701863354,1.16790890269151,0,0,0.5,2.8499999999999996,3.35,3.35,0.0,1.7,11.0,0.0,0.0,10.0,154.0,2.9,0.45,3.35,3.35,0.0,1.7
0,0.6,1.5,0.6,0.05,176,1991958.26086957,1980977.0,5796550077.3133,6121.60869565217,1386.17391304348,695.04347826087,494.347826086957,391.144927536232,329.63768115942,285.724637681159,6011.0,1393.0,684.0,481.0,376.0,312.0,274.0,828058.74168798,14728.3810741688,4399.48337595908,3694.5831202046,3227.41986359761,2730.76385336743,2069.14364876385,69.0,54.0,34.0,27.0,23.0,21,19.0,43.8124467178176,32.4475703324808,9.80861040068201,3.23955669224211,3.44543904518329,4.28047740835465,3.79070758738278,50.0,34.0,25.0,21.0,19.0,18.0,17.0,15.2763975155279,18.0629399585921,9.1296066252588,6.01262939958592,2.88944099378882,2.7536231884058,2.27349896480331,0,0,0.5499999999999999,2.8,3.35,3.35,0.0,1.7,11.999999999999998,0.0,0.0,11.0,188.0,2.8499999999999996,0.5,3.35,3.35,0.0,1.7
0,0.65,1.5,0.65,0.05,184,2051499.52173913,2065893.0,6146359613.40026,7197.49275362319,1726.20289855072,748.565217391304,535.95652173913,430.434782608696,363.420289855072,318.434782608696,7083.0,1634.0,772.0,549.0,441.0,371.0,321.0,1089487.10656436,177160.605285592,7049.27877237852,5122.01278772378,4382.45524296675,3525.92369991475,2972.98465473146,72.0,57.0,36.0,28.0,24.0,22,20.0,30.65515771526,21.8375959079284,7.71483375959079,3.68925831202046,3.95566922421142,3.67561807331628,3.52557544757033,51.0,38.0,25.0,22.0,20.0,19.0,18.0,14.9026915113872,38.1730848861284,17.6498964803313,5.67370600414079,4.62443064182195,3.81863354037267,4.25859213250518,0,0,0.6,2.75,3.35,3.35,0.0,1.7,13.0,0.0,0.0,11.999999999999998,176.0,2.8,0.5499999999999999,3.35,3.35,0.0,1.7
0,0.7,1.5,0.7,0.05,141,1867035.68115942,1866053.0,3716593033.13214,4757.92753623188,962.188405797101,569.159420289855,429.898550724638,352.217391304348,299.014492753623,263.942028985507,4647.0,952.0,565.0,421.0,348.0,292.0,258.0,653068.950554135,3582.8610400682,1638.25362318841,1213.82779198636,1027.99616368286,860.367433930094,654.937766410912,65.0,53.0,36.0,31.0,26.0,24,22.0,105.399403239557,76.1176470588235,17.268968456948,9.30861040068201,7.73444160272805,6.2229326513214,5.1845694799659,32.0,25.0,20.0,18.0,16.0,16.0,15.0,21.5695652173913,7.63975155279503,4.74554865424431,3.84596273291925,3.33002070393375,2.62132505175983,2.46873706004141,0,0,0.6499999999999999,2.7,3.35,3.35,0.0,1.7,13.999999999999998,0.0,0.0,13.0,184.0,2.75,0.6,3.35,3.35,0.0,1.7
0,0.75,1.5,0.75,0.05,156,1917581.42028985,1914594.0,5228471063.95311,5473.04347826087,1191.04347826087,623.0,452.405797101449,354.753623188406,294.449275362319,254.869565217391,5342.0,1170.0,633.0,454.0,348.0,281.0,238.0,948543.071611253,9441.1010230179,3464.82352941176,2882.33290707587,2930.60017050298,2667.63341858483,2304.43861892583,65.0,48.0,31.0,25.0,21.0,19,17.0,18.6257459505541,13.3721227621483,9.94416027280477,9.50937766410912,10.1027280477408,8.69565217391304,8.23188405797102,42.0,30.0,23.0,20.0,18.0,17.0,16.0,26.5209109730849,12.2766045548654,5.11407867494824,4.31076604554866,2.92422360248447,2.63685300207039,3.23312629399586,0,0,0.7,2.65,3.35,3.35,0.0,1.7,15.0,0.0,0.0,13.999999999999998,141.0,2.7,0.6499999999999999,3.35,3.35,0.0,1.7
0,0.8,1.5,0.8,0.05,140,1854396.65217391,1853905.0,3390815527.31841,4810.66666666667,889.521739130435,490.913043478261,356.420289855072,284.130434782609,241.420289855072,211.36231884058,4749.0,884.0,494.0,354.0,286.0,244.0,213.0,778219.990196078,4463.04731457801,1503.52173913043,666.717817561807,444.23273657289,330.306052855925,243.234441602728,62.0,45.0,30.0,23.0,19.0,17,16.0,13.0537084398977,16.5805626598465,9.2152600170503,4.05797101449275,3.15132139812447,1.68840579710145,1.01278772378517,31.0,25.0,20.0,18.0,16.5,15.0,15.0,4.97743271221532,2.03312629399586,2.38944099378882,1.84347826086957,1.23395445134576,1.28385093167702,1.1695652173913,0,0,0.75,2.5999999999999996,3.35,3.35,0.0,1.7,16.0,0.0,0.0,15.0,156.0,2.65,0.7,3.35,3.35,0.0,1.7
0,0.85,1.5,0.85,0.05,144,1895585.73913043,1889055.0,5513646334.48977,5457.20289855072,1050.4347826087,501.36231884058,371.565217391304,299.347826086957,255.159420289855,225.884057971014,5192.0,901.0,478.0,352.0,279.0,234.0,210.0,2602839.72293265,357423.66112532,11587.4991474851,5540.92583120205,3482.84782608696,2634.75362318841,1987.86871270247,51.0,40.0,27.0,23.0,19.0,17,16.0,56.7612958226769,36.9748508098892,22.1393861892583,12.7638533674339,8.36871270247229,7.22378516624041,6.29028132992327,33.0,26.0,21.0,18.0,17.0,16.0,15.0,36.5028985507246,33.4097308488613,13.371635610766,7.70931677018634,6.22132505175983,5.2,3.89979296066253,0,0,0.7999999999999999,2.55,3.35,3.35,0.0,1.7,17.0,0.0,0.0,16.0,140.0,2.5999999999999996,0.75,3.35,3.35,0.0,1.7
0,0.9,1.5,0.9,0.05,172,2030216.98550725,2033629.0,4391402857.04391,7183.69565217391,1662.1884057971,756.057971014493,524.753623188406,418.521739130435,350.826086956522,304.36231884058,7169.0,1574.0,735.0,510.0,406.0,338.0,295.0,1389987.5971867,109439.831628304,7518.90835464621,3650.6589940324,2406.19437340153,1664.67519181586,1154.94032395567,72.0,55.0,37.0,28.0,25.0,22,20.0,72.1142369991475,17.1206308610401,16.8725490196078,7.7229326513214,5.09121909633419,3.038789428815,2.05626598465473,51.0,34.5,25.5,22.0,19.5,18.0,17.0,10.1706004140787,41.6223602484472,6.01573498964803,5.08260869565217,4.39109730848861,3.14886128364389,2.651966873706,0,0,0.85,2.5,3.35,3.35,0.0,1.7,18.0,0.0,0.0,17.0,144.0,2.55,0.7999999999999999,3.35,3.35,0.0,1.7
0,0.95,1.5,0.95,0.05,147,2001184.17391304,1998885.0,4124836749.61637,6275.73913043478,1379.02898550725,681.913043478261,479.536231884058,384.101449275362,323.768115942029,281.536231884058,6248.0,1388.0,692.0,491.0,378.0,324.0,274.0,1352254.16624041,53168.705029838,7732.05115089514,3031.81116794544,2255.5042625746,1926.62190963342,1608.75234441603,78.0,61.0,35.0,28.0,24.0,21,19.0,112.096334185848,51.0451832907076,17.8265132139812,3.99914748508099,3.38150042625746,4.35038363171356,4.47357203751066,49.0,32.0,25.0,21.0,19.0,18.0,17.0,24.0919254658385,11.5354037267081,2.19047619047619,2.40496894409938,1.84037267080745,1.68219461697723,1.12815734989648,0,0,0.8999999999999999,2.45,3.35,3.35,0.0,1.7,18.999999999999996,0.0,0.0,18.0,172.0,2.5,0.85,3.35,3.35,0.0,1.7
0,1.0,1.5,1.0,0.05,188,2183392.10144928,2175207.0,5464373807.97485,7709.60869565217,2139.6231884058,1037.6231884058,748.95652173913,601.420289855072,507.666666666667,445.072463768116,7717.0,2112.0,1006.0,725.0,592.0,505.0,451.0,2041786.41815857,245413.944160273,21723.8559249787,6737.01278772379,3485.95311167945,1907.72549019608,1353.56820119352,81.0,69.0,46.0,35.0,30.0,27,26.0,107.092497868713,70.8478260869565,43.1065643648764,28.0336743393009,20.4441602728048,16.7890025575448,13.1436487638534,52.0,42.0,27.5,23.0,21.0,19.5,19.0,7.06190476190476,24.4604554865424,3.80207039337474,1.95051759834369,1.44699792960663,1.67204968944099,1.74347826086956,0,0,0.95,2.4,3.35,3.35,0.0,1.7,20.0,0.0,0.0,18.999999999999996,147.0,2.45,0.8999999999999999,3.35,3.35,0.0,1.7
